scientific_name	size_class	trophic_type	comments	trophic_type_source
Acanthoceras zachariasii	1	AU		SMHI_bvol och PEG
Acanthoceras zachariasii	2	AU		SMHI_bvol och PEG
Acanthoceras zachariasii		AU		Lagt till art utan storleksklass
Acanthoceras zachariasii	4	AU		
Acanthoceras zachariasii	5	AU		
Acanthoceras zachariasii	6	AU		
Acanthocorbis	1	AU		
Acanthocorbis		AU		
Acanthocorbis unguiculata	1	HT		
Acanthocorbis unguiculata		HT		
Acanthoica quattrospina	1	MX		SMHI_bvol och PEG
Acanthoica quattrospina		MX		
Acanthoica	1	MX		
Acanthoica		MX		
Acanthostomella norvegica	1	HT		SMHI_bvol
Acanthostomella norvegica		HT		
Achnanthes	1	AU		SMHI_bvol och PEG
Achnanthes	2	AU		SMHI_bvol och PEG
Achnanthes	3	AU		SMHI_bvol och PEG
Achnanthes	4	AU		SMHI_bvol och PEG
Achnanthes	5	AU		
Achnanthes	6	AU		
Achnanthes	7	AU		
Achnanthes	8	AU		
Achnanthes		AU		SMHI_bvol och PEG
Achnanthes brevipes		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Achnanthes brevipes		AU		Lagt till art utan storleksklass
Achnanthes longipes		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Achnanthes longipes		AU		Lagt till art utan storleksklass
Achnanthes taeniata	1	AU		SMHI_bvol och PEG
Achnanthes taeniata	2	AU		SMHI_bvol och PEG
Achnanthes taeniata	3	AU		SMHI_bvol och PEG
Achnanthes taeniata	4	AU		SMHI_bvol och PEG
Achnanthes taeniata	5	AU		SMHI_bvol och PEG
Achnanthes taeniata	6	AU		SMHI_bvol och PEG
Achnanthes taeniata	7	AU		SMHI_bvol och PEG
Achnanthes taeniata	8	AU		SMHI_bvol och PEG
Achnanthes taeniata	9	AU		SMHI_bvol och PEG
Achnanthes taeniata	10	AU		SMHI_bvol och PEG
Achnanthes taeniata	11	AU		SMHI_bvol och PEG
Achnanthes taeniata		AU		Lagt till art utan storleksklass
Achnanthidium minutissimum	1	AU		Arter i sharkweb som inte finns PEG/SMHI listan
Achnanthidium minutissimum		AU		Lagt till art utan storleksklass
Achroonema lentum	1	HT		SMHI_bvol och PEG
Achroonema lentum		HT		Lagt till art utan storleksklass
Achroonema proteiforme	1	HT		SMHI_bvol och PEG
Achroonema proteiforme		HT		Lagt till art utan storleksklass
Actinastrum hantzschii	1	AU		SMHI_bvol och PEG
Actinastrum hantzschii	2	AU		SMHI_bvol och PEG
Actinastrum hantzschii	3	AU		SMHI_bvol och PEG
Actinastrum hantzschii		AU		Lagt till art utan storleksklass
Actinastrum hantzschii	4	AU		
Actinastrum hantzschii	5	AU		
Actinastrum hantzschii	6	AU		
Actiniscus pentasterias	1	HT		SMHI_bvol och PEG
Actiniscus pentasterias		HT		Lagt till art utan storleksklass
Actinocyclus	1	AU		SMHI_bvol och PEG
Actinocyclus	2	AU		SMHI_bvol och PEG
Actinocyclus	3	AU		SMHI_bvol och PEG
Actinocyclus	4	AU		SMHI_bvol och PEG
Actinocyclus	5	AU		SMHI_bvol och PEG
Actinocyclus	6	AU		SMHI_bvol och PEG
Actinocyclus	7	AU		SMHI_bvol och PEG
Actinocyclus	8	AU		SMHI_bvol och PEG
Actinocyclus	9	AU		SMHI_bvol och PEG
Actinocyclus	10	AU		SMHI_bvol och PEG
Actinocyclus		AU		Lagt till art utan storleksklass
Actinocyclus normanii	1	AU		SMHI_bvol och PEG
Actinocyclus normanii	2	AU		SMHI_bvol och PEG
Actinocyclus normanii	3	AU		SMHI_bvol och PEG
Actinocyclus normanii	4	AU		SMHI_bvol och PEG
Actinocyclus normanii	5	AU		SMHI_bvol och PEG
Actinocyclus normanii	6	AU		SMHI_bvol och PEG
Actinocyclus normanii	7	AU		SMHI_bvol och PEG
Actinocyclus normanii		AU		Lagt till art utan storleksklass
Actinocyclus normanii f. normanii	1	AU		SMHI_bvol och PEG
Actinocyclus normanii f. normanii	2	AU		SMHI_bvol och PEG
Actinocyclus normanii f. normanii	3	AU		SMHI_bvol och PEG
Actinocyclus normanii f. normanii	4	AU		SMHI_bvol och PEG
Actinocyclus normanii f. normanii	5	AU		SMHI_bvol och PEG
Actinocyclus normanii f. normanii	6	AU		SMHI_bvol och PEG
Actinocyclus normanii f. normanii		AU		Lagt till art utan storleksklass
Actinocyclus normanii f. subsalsus	1	AU		SMHI_bvol och PEG
Actinocyclus normanii f. subsalsus	2	AU		SMHI_bvol och PEG
Actinocyclus normanii f. subsalsus	3	AU		SMHI_bvol och PEG
Actinocyclus normanii f. subsalsus	4	AU		SMHI_bvol och PEG
Actinocyclus normanii f. subsalsus	5	AU		SMHI_bvol och PEG
Actinocyclus normanii f. subsalsus	6	AU		SMHI_bvol och PEG
Actinocyclus normanii f. subsalsus		AU		Lagt till art utan storleksklass
Actinocyclus octonarius	1	AU		Arter i sharkweb som inte finns PEG/SMHI listan
Actinocyclus octonarius	2	AU		
Actinocyclus octonarius	3	AU		
Actinocyclus octonarius	4	AU		
Actinocyclus octonarius	5	AU		
Actinocyclus octonarius	6	AU		
Actinocyclus octonarius	7	AU		
Actinocyclus octonarius	8	AU		
Actinocyclus octonarius	9	AU		
Actinocyclus octonarius	10	AU		
Actinocyclus octonarius	11	AU		
Actinocyclus octonarius	12	AU		
Actinocyclus octonarius		AU		
Actinocyclus octonarius var. crassus	1	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. crassus	2	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. crassus	3	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. crassus	4	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. crassus	5	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. crassus	6	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. crassus	7	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. crassus		AU		Lagt till art utan storleksklass
Actinocyclus octonarius var. octonarius	1	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	2	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	3	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	4	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	5	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	6	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	7	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	8	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	9	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	10	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	11	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	12	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius		AU		Lagt till art utan storleksklass
Actinocyclus octonarius var. tenellus	1	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. tenellus	2	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. tenellus	3	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. tenellus	4	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. tenellus	5	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. tenellus		AU		Lagt till art utan storleksklass
Actinomonas		AU		
Actinoptychus octonarius	1	AU		SMHI_bvol och PEG
Actinoptychus octonarius	2	AU		SMHI_bvol och PEG
Actinoptychus octonarius	3	AU		SMHI_bvol och PEG
Actinoptychus octonarius	4	AU		SMHI_bvol och PEG
Actinoptychus octonarius	5	AU		SMHI_bvol och PEG
Actinoptychus octonarius	6	AU		SMHI_bvol och PEG
Actinoptychus octonarius	7	AU		SMHI_bvol och PEG
Actinoptychus octonarius	8	AU		SMHI_bvol och PEG
Actinoptychus octonarius	9	AU		SMHI_bvol och PEG
Actinoptychus octonarius	10	AU		SMHI_bvol och PEG
Actinoptychus octonarius	11	AU		SMHI_bvol och PEG
Actinoptychus octonarius	12	AU		SMHI_bvol och PEG
Actinoptychus octonarius		AU		Lagt till art utan storleksklass
Actinoptychus senarius	1	AU		SMHI_bvol och PEG
Actinoptychus senarius	2	AU		SMHI_bvol och PEG
Actinoptychus senarius	3	AU		SMHI_bvol och PEG
Actinoptychus senarius	4	AU		SMHI_bvol och PEG
Actinoptychus senarius	5	AU		SMHI_bvol och PEG
Actinoptychus senarius	6	AU		SMHI_bvol och PEG
Actinoptychus senarius	7	AU		SMHI_bvol och PEG
Actinoptychus senarius	8	AU		SMHI_bvol och PEG
Actinoptychus senarius		AU		Lagt till art utan storleksklass
Acutodesmus acuminatus	1	AU		SMHI_bvol och PEG
Acutodesmus acuminatus	2	AU		SMHI_bvol och PEG
Acutodesmus acuminatus	3	AU		SMHI_bvol och PEG
Acutodesmus acuminatus	4	AU		SMHI_bvol och PEG
Acutodesmus acuminatus	5	AU		SMHI_bvol och PEG
Acutodesmus acuminatus		AU		Lagt till art utan storleksklass
Akashiwo sanguinea	1	AU		SMHI_bvol och PEG
Akashiwo sanguinea	2	AU		SMHI_bvol och PEG
Akashiwo sanguinea	3	AU		SMHI_bvol och PEG
Akashiwo sanguinea	4	AU		SMHI_bvol och PEG
Akashiwo sanguinea	5	AU		
Akashiwo sanguinea	6	AU		
Akashiwo sanguinea		AU		Lagt till art utan storleksklass
Alexandrium	1	AU		SMHI_bvol och PEG
Alexandrium	2	AU		SMHI_bvol och PEG
Alexandrium	3	AU		SMHI_bvol och PEG
Alexandrium	4	AU		SMHI_bvol och PEG
Alexandrium		AU		Lagt till art utan storleksklass
Alexandrium catenella	1	AU		
Alexandrium catenella		AU		
Alexandrium leei	1	AU		
Alexandrium leei		AU		
Alexandrium margalefii	1	AU		
Alexandrium margalefii		AU		
Alexandrium minutum	1	AU		SMHI_bvol och PEG
Alexandrium minutum	2	AU		SMHI_bvol och PEG
Alexandrium minutum		AU		Lagt till art utan storleksklass
Alexandrium ostenfeldii	1	AU		SMHI_bvol och PEG
